Airline,Source,Destination,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Month_of_Journey,Day_of_Journey,Duration_min
Jet Airways,Delhi,Cochin,19,4,2.0,In-flight meal not included,13029,May,Saturday,535
Multiple carriers,Delhi,Cochin,11,18,1.0,No Info,11421,March,Wednesday,430
Multiple carriers,Delhi,Cochin,4,19,1.0,No Info,7574,March,Wednesday,150
Air India,Delhi,Cochin,12,19,2.0,No Info,11596,May,Thursday,1100
Jet Airways,Delhi,Cochin,23,19,2.0,No Info,15129,May,Friday,475
Jet Airways,Banglore,New Delhi,14,5,1.0,No Info,13555,March,Monday,180
IndiGo,Banglore,Delhi,18,21,0.0,No Info,5780,April,Friday,175
Vistara,Kolkata,Banglore,20,9,1.0,No Info,9397,May,Sunday,765
Jet Airways,Delhi,Cochin,18,4,1.0,No Info,17024,March,Wednesday,610
GoAir,Delhi,Cochin,7,12,1.0,No Info,5281,June,Thursday,355
Multiple carriers,Delhi,Cochin,7,22,1.0,No Info,10348,May,Saturday,205
Air India,Delhi,Cochin,17,9,1.0,No Info,12677,March,Wednesday,245
Multiple carriers,Delhi,Cochin,15,1,1.0,No Info,15147,March,Sunday,610
Vistara,Banglore,Delhi,7,9,0.0,No Info,4668,June,Wednesday,160
Jet Airways,Delhi,Cochin,7,19,1.0,No Info,15554,May,Thursday,715
SpiceJet,Banglore,Delhi,5,8,0.0,No Info,3971,April,Tuesday,160
Air India,Mumbai,Hyderabad,15,16,0.0,No Info,3100,May,Friday,85
Jet Airways,Kolkata,Banglore,20,10,1.0,In-flight meal not included,9663,May,Monday,125
Air India,Delhi,Cochin,23,19,1.0,No Info,8450,March,Friday,495
IndiGo,Chennai,Kolkata,5,7,0.0,No Info,3540,May,Sunday,145
Air India,Kolkata,Banglore,12,11,2.0,No Info,10676,May,Tuesday,670
Jet Airways,Kolkata,Banglore,14,8,1.0,No Info,13044,June,Wednesday,370
Jet Airways,Kolkata,Banglore,20,12,1.0,No Info,14388,May,Monday,240
IndiGo,Banglore,Delhi,4,6,0.0,No Info,3943,June,Monday,170
IndiGo,Chennai,Kolkata,14,17,0.0,No Info,3597,June,Monday,140
Air India,Banglore,New Delhi,11,19,1.0,No Info,5932,March,Thursday,480
Jet Airways,Delhi,Cochin,11,4,1.0,In-flight meal not included,10262,June,Saturday,295
Vistara,Delhi,Cochin,14,17,0.0,No Info,6216,May,Sunday,190
IndiGo,Kolkata,Banglore,20,23,0.0,No Info,4804,June,Saturday,165
Multiple carriers,Delhi,Cochin,11,1,1.0,No Info,14067,May,Tuesday,120
Jet Airways,Delhi,Cochin,19,19,2.0,No Info,15129,May,Saturday,710
Jet Airways,Delhi,Cochin,6,4,2.0,No Info,13376,June,Thursday,580
Air India,Delhi,Cochin,22,19,2.0,No Info,10441,June,Thursday,555
Jet Airways,Banglore,Delhi,6,8,0.0,In-flight meal not included,4030,May,Friday,165
Jet Airways,Delhi,Cochin,8,18,1.0,No Info,17024,March,Sunday,650
Multiple carriers,Delhi,Cochin,17,1,1.0,No Info,13017,April,Tuesday,480
GoAir,Kolkata,Banglore,23,7,1.0,No Info,6686,June,Thursday,495
IndiGo,Delhi,Cochin,2,7,1.0,No Info,5636,June,Saturday,325
IndiGo,Delhi,Cochin,7,16,1.0,No Info,6442,June,Sunday,515
Multiple carriers,Delhi,Cochin,13,0,1.0,No Info,9486,May,Tuesday,710
Jet Airways,Kolkata,Banglore,20,23,1.0,In-flight meal not included,10844,May,Tuesday,935
Jet Airways,Delhi,Cochin,20,4,2.0,In-flight meal not included,15318,June,Monday,505
Air India,Delhi,Cochin,12,9,1.0,No Info,5117,April,Wednesday,535
IndiGo,Delhi,Cochin,15,20,1.0,No Info,6147,June,Monday,290
Multiple carriers,Delhi,Cochin,12,21,1.0,No Info,7005,June,Sunday,490
SpiceJet,Kolkata,Banglore,22,0,0.0,No Info,3873,April,Wednesday,140
Jet Airways,Delhi,Cochin,18,18,2.0,In-flight meal not included,9270,March,Thursday,745
GoAir,Banglore,Delhi,11,14,0.0,No Info,3898,June,Thursday,170
Jet Airways,Kolkata,Banglore,8,20,1.0,No Info,14781,May,Sunday,740
Jet Airways,Kolkata,Banglore,20,8,1.0,In-flight meal not included,8586,May,Friday,735
Air India,Kolkata,Banglore,8,7,2.0,No Info,10697,May,Thursday,695
Jet Airways,Delhi,Cochin,20,12,2.0,No Info,14300,June,Thursday,275
IndiGo,Banglore,New Delhi,18,21,0.0,No Info,8855,March,Sunday,170
Jet Airways,Kolkata,Banglore,16,18,1.0,In-flight meal not included,10844,May,Sunday,825
Jet Airways,Delhi,Cochin,2,4,1.0,No Info,17024,March,Wednesday,850
Jet Airways,Kolkata,Banglore,9,14,1.0,In-flight meal not included,9314,May,Wednesday,1010
IndiGo,Banglore,New Delhi,0,3,0.0,No Info,4777,March,Sunday,165
Air India,Kolkata,Banglore,12,13,1.0,No Info,7662,June,Sunday,795
IndiGo,Delhi,Cochin,6,16,1.0,No Info,6442,May,Thursday,560
SpiceJet,Delhi,Cochin,8,13,1.0,No Info,5264,June,Wednesday,270
Jet Airways,Delhi,Cochin,13,4,1.0,In-flight meal not included,12898,May,Monday,205
Air India,Mumbai,Hyderabad,13,15,0.0,No Info,6092,March,Sunday,90
SpiceJet,Banglore,Delhi,5,8,0.0,No Info,3311,May,Tuesday,160
Jet Airways,Delhi,Cochin,19,4,1.0,In-flight meal not included,6540,March,Wednesday,550
IndiGo,Banglore,Delhi,1,4,0.0,No Info,3419,May,Monday,165
Jet Airways,Delhi,Cochin,14,12,1.0,In-flight meal not included,5177,April,Wednesday,635
Air India,Delhi,Cochin,18,21,0.0,No Info,8246,April,Thursday,185
Jet Airways,Kolkata,Banglore,9,21,1.0,No Info,14676,June,Sunday,690
Multiple carriers,Delhi,Cochin,11,21,1.0,No Info,13587,June,Thursday,570
Jet Airways,Kolkata,Banglore,21,9,1.0,In-flight meal not included,9663,May,Monday,730
Jet Airways,Kolkata,Banglore,16,10,1.0,No Info,13044,June,Wednesday,335
IndiGo,Delhi,Cochin,20,1,1.0,No Info,5073,April,Wednesday,305
Vistara,Kolkata,Banglore,17,18,1.0,No Info,9345,May,Tuesday,830
Jet Airways,Kolkata,Banglore,14,10,1.0,In-flight meal not included,9663,May,Monday,480
Multiple carriers,Delhi,Cochin,8,21,1.0,No Info,14277,May,Tuesday,60
Jet Airways,Delhi,Cochin,10,4,1.0,In-flight meal not included,10262,June,Saturday,385
Jet Airways,Mumbai,Hyderabad,19,21,0.0,No Info,5678,March,Wednesday,90
Multiple carriers,Delhi,Cochin,16,1,1.0,No Info,13727,May,Wednesday,570
Jet Airways,Kolkata,Banglore,20,12,1.0,In-flight meal not included,9663,May,Monday,240
IndiGo,Chennai,Kolkata,14,17,0.0,No Info,3858,May,Sunday,140
SpiceJet,Delhi,Cochin,8,13,1.0,No Info,4812,June,Monday,270
IndiGo,Delhi,Cochin,21,3,1.0,No Info,5775,June,Thursday,345
Jet Airways,Kolkata,Banglore,9,9,1.0,In-flight meal not included,10539,June,Thursday,730
IndiGo,Kolkata,Banglore,15,18,0.0,No Info,4804,June,Monday,155
Air Asia,Banglore,Delhi,11,13,0.0,No Info,3383,June,Wednesday,165
IndiGo,Banglore,New Delhi,12,17,1.0,No Info,8738,March,Sunday,295
Air India,Delhi,Cochin,5,6,1.0,No Info,7165,March,Wednesday,815
IndiGo,Delhi,Cochin,16,22,1.0,No Info,6412,June,Monday,380
Jet Airways,Banglore,Delhi,18,22,0.0,No Info,8016,June,Thursday,185
Jet Airways,Banglore,New Delhi,20,15,1.0,In-flight meal not included,11087,March,Tuesday,400
SpiceJet,Chennai,Kolkata,9,12,0.0,In-flight meal not included,3543,June,Thursday,135
Jet Airways,Kolkata,Banglore,16,4,1.0,No Info,12471,June,Wednesday,730
Jet Airways,Delhi,Cochin,9,4,1.0,In-flight meal not included,10262,June,Monday,445
Air India,Banglore,New Delhi,13,16,0.0,No Info,4441,March,Monday,170
Multiple carriers,Delhi,Cochin,7,15,1.0,No Info,12537,March,Wednesday,505
GoAir,Kolkata,Banglore,22,7,1.0,No Info,10091,March,Sunday,555
Air India,Banglore,Delhi,21,23,0.0,No Info,6961,June,Monday,170
IndiGo,Delhi,Cochin,5,8,0.0,No Info,5013,April,Wednesday,195
Air India,Delhi,Cochin,5,8,0.0,No Info,6934,May,Saturday,170
Multiple carriers,Delhi,Cochin,6,19,1.0,No Info,10877,June,Monday,740
Jet Airways,Banglore,Delhi,15,18,0.0,No Info,7229,April,Thursday,175
IndiGo,Delhi,Cochin,16,1,1.0,No Info,7048,March,Wednesday,575
Vistara,Banglore,Delhi,17,19,0.0,No Info,4878,June,Thursday,155
Jet Airways,Kolkata,Banglore,14,23,1.0,In-flight meal not included,10844,May,Tuesday,570
Jet Airways,Delhi,Cochin,23,4,2.0,No Info,15129,May,Saturday,1040
IndiGo,Banglore,Delhi,0,3,0.0,No Info,3943,May,Sunday,175
SpiceJet,Delhi,Cochin,6,11,1.0,No Info,5583,June,Thursday,315
Multiple carriers,Delhi,Cochin,7,16,1.0,No Info,9646,June,Thursday,545
Multiple carriers,Delhi,Cochin,8,19,1.0,No Info,7677,June,Monday,645
IndiGo,Delhi,Cochin,5,10,1.0,No Info,6842,June,Saturday,295
Jet Airways,Mumbai,Hyderabad,8,10,0.0,In-flight meal not included,4995,June,Monday,90
Vistara,Kolkata,Banglore,7,18,1.0,No Info,9555,June,Sunday,700
IndiGo,Banglore,Delhi,1,4,0.0,No Info,4077,June,Saturday,165
Jet Airways,Banglore,Delhi,15,18,0.0,No Info,7229,May,Sunday,175
Multiple carriers,Delhi,Cochin,9,19,1.0,No Info,12192,June,Sunday,600
Air India,Banglore,Delhi,10,12,0.0,No Info,5911,April,Friday,165
Air India,Delhi,Cochin,9,19,1.0,No Info,8372,June,Wednesday,615
Jet Airways,Mumbai,Hyderabad,7,8,0.0,In-flight meal not included,4995,March,Monday,85
Multiple carriers,Delhi,Cochin,10,19,1.0,No Info,14323,May,Thursday,555
Jet Airways,Delhi,Cochin,5,4,2.0,No Info,13014,June,Sunday,655
Air India,Delhi,Cochin,14,19,2.0,No Info,13591,June,Thursday,1010
Jet Airways,Delhi,Cochin,5,18,2.0,No Info,18799,March,Sunday,335
IndiGo,Banglore,Delhi,23,2,0.0,No Info,3943,April,Saturday,170
SpiceJet,Mumbai,Hyderabad,5,7,0.0,In-flight meal not included,1965,May,Tuesday,90
Jet Airways,Mumbai,Hyderabad,10,11,0.0,In-flight meal not included,4995,May,Monday,90
Air India,Kolkata,Banglore,16,18,1.0,No Info,14641,March,Sunday,820
Air India,Kolkata,Banglore,20,23,0.0,No Info,4460,April,Friday,155
Air India,Delhi,Cochin,13,19,1.0,No Info,10191,May,Saturday,375
Jet Airways,Delhi,Cochin,2,19,1.0,In-flight meal not included,13843,March,Saturday,330
IndiGo,Delhi,Cochin,21,3,1.0,No Info,6349,May,Wednesday,345
Air Asia,Kolkata,Banglore,10,12,0.0,No Info,4409,May,Wednesday,155
Jet Airways,Delhi,Cochin,18,19,1.0,No Info,17024,March,Wednesday,810
Multiple carriers,Delhi,Cochin,7,21,1.0,No Info,13727,May,Saturday,115
IndiGo,Banglore,New Delhi,18,21,0.0,No Info,8855,March,Friday,175
Jet Airways,Banglore,New Delhi,11,20,1.0,No Info,13555,March,Monday,520
Jet Airways,Kolkata,Banglore,6,12,1.0,In-flight meal not included,10844,June,Thursday,330
Multiple carriers,Delhi,Cochin,9,21,1.0,No Info,13587,June,Sunday,720
SpiceJet,Chennai,Kolkata,9,12,0.0,In-flight meal not included,3543,June,Wednesday,135
Vistara,Chennai,Kolkata,7,9,0.0,No Info,4842,March,Monday,135
IndiGo,Banglore,Delhi,23,2,0.0,No Info,3943,April,Wednesday,170
Jet Airways,Delhi,Cochin,19,4,1.0,In-flight meal not included,10577,June,Sunday,550
IndiGo,Delhi,Cochin,10,21,1.0,No Info,6979,May,Wednesday,625
Vistara,Chennai,Kolkata,17,20,0.0,No Info,11982,June,Thursday,140
SpiceJet,Delhi,Cochin,8,13,1.0,No Info,5264,June,Thursday,270
Vistara,Delhi,Cochin,6,9,0.0,No Info,8001,March,Sunday,190
Air India,Delhi,Cochin,19,19,2.0,No Info,10651,June,Saturday,690
Jet Airways,Kolkata,Banglore,16,19,1.0,In-flight meal not included,10844,May,Friday,920
Multiple carriers,Delhi,Cochin,9,22,1.0,No Info,6601,March,Wednesday,755
Air India,Delhi,Cochin,19,19,1.0,No Info,6587,March,Thursday,735
SpiceJet,Mumbai,Hyderabad,13,14,0.0,No Info,3173,March,Thursday,80
Air India,Banglore,Delhi,10,12,0.0,No Info,5228,May,Thursday,165
Jet Airways,Banglore,Delhi,7,10,0.0,In-flight meal not included,5769,June,Friday,180
Jet Airways,Delhi,Cochin,8,19,1.0,No Info,14714,June,Thursday,660
Jet Airways,Delhi,Cochin,5,19,2.0,No Info,13014,June,Monday,90
IndiGo,Banglore,Delhi,22,1,0.0,No Info,3359,June,Monday,170
GoAir,Banglore,New Delhi,20,23,0.0,No Info,6722,March,Sunday,175
IndiGo,Kolkata,Banglore,9,12,0.0,No Info,4462,March,Monday,165
IndiGo,Delhi,Cochin,4,16,1.0,No Info,6171,March,Saturday,675
Air India,Kolkata,Banglore,5,20,2.0,No Info,12303,May,Tuesday,155
Multiple carriers,Delhi,Cochin,11,1,1.0,No Info,7695,March,Thursday,115
IndiGo,Delhi,Cochin,11,1,1.0,No Info,5684,June,Monday,125
Air India,Kolkata,Banglore,16,7,1.0,No Info,8366,June,Wednesday,185
Air India,Chennai,Kolkata,11,13,0.0,No Info,19630,March,Friday,135
Jet Airways,Banglore,New Delhi,14,5,1.0,In-flight meal not included,13502,March,Wednesday,180
Jet Airways,Kolkata,Banglore,21,10,1.0,No Info,14781,May,Wednesday,775
Multiple carriers,Delhi,Cochin,7,16,1.0,No Info,6513,June,Wednesday,540
Air India,Delhi,Cochin,7,19,1.0,No Info,9929,June,Saturday,735
Multiple carriers,Delhi,Cochin,17,1,2.0,No Info,18275,June,Thursday,460
Air India,Delhi,Cochin,6,9,1.0,No Info,4487,April,Tuesday,920
IndiGo,Mumbai,Hyderabad,21,22,0.0,No Info,2754,March,Friday,85
Air India,Mumbai,Hyderabad,6,7,0.0,No Info,2575,March,Wednesday,80
SpiceJet,Kolkata,Banglore,15,21,1.0,No Info,8224,June,Wednesday,330
Air India,Delhi,Cochin,20,8,1.0,No Info,8991,March,Saturday,705
IndiGo,Delhi,Cochin,5,8,0.0,No Info,5000,June,Monday,195
Jet Airways,Kolkata,Banglore,18,19,1.0,In-flight meal not included,8529,June,Wednesday,775
Air India,Delhi,Cochin,6,9,1.0,No Info,14042,March,Sunday,920
Jet Airways,Banglore,Delhi,11,14,0.0,In-flight meal not included,4030,May,Friday,175
Jet Airways,Kolkata,Banglore,18,12,1.0,In-flight meal not included,10844,June,Thursday,305
IndiGo,Kolkata,Banglore,21,0,0.0,No Info,4804,May,Monday,160
Multiple carriers,Delhi,Cochin,17,1,1.0,In-flight meal not included,7308,May,Monday,480
IndiGo,Banglore,Delhi,16,19,0.0,No Info,4823,May,Sunday,180
Jet Airways,Delhi,Cochin,9,12,1.0,In-flight meal not included,10262,June,Monday,935
Jet Airways,Delhi,Cochin,20,4,1.0,In-flight meal not included,12898,May,Monday,450
Air India,Banglore,New Delhi,17,16,2.0,No Info,12778,March,Tuesday,655
IndiGo,Delhi,Cochin,4,13,1.0,No Info,14871,March,Sunday,515
Air India,Delhi,Cochin,13,19,2.0,No Info,8708,March,Thursday,1075
Jet Airways,Kolkata,Banglore,20,18,1.0,In-flight meal not included,10844,June,Thursday,615
SpiceJet,Mumbai,Hyderabad,5,7,0.0,No Info,4129,March,Wednesday,80
IndiGo,Kolkata,Banglore,21,0,0.0,No Info,4804,May,Saturday,160
Jet Airways,Banglore,Delhi,8,11,0.0,No Info,7229,May,Monday,180
Jet Airways,Banglore,New Delhi,7,19,1.0,In-flight meal not included,7832,March,Thursday,730
SpiceJet,Chennai,Kolkata,9,12,0.0,No Info,3859,March,Monday,155
Multiple carriers,Delhi,Cochin,7,19,1.0,No Info,9001,June,Thursday,705
Vistara,Banglore,Delhi,17,19,0.0,No Info,4878,May,Thursday,155
IndiGo,Mumbai,Hyderabad,2,4,0.0,No Info,2754,May,Friday,90
Vistara,Banglore,Delhi,7,9,0.0,No Info,4668,June,Thursday,160
Air Asia,Kolkata,Banglore,10,12,0.0,No Info,5216,May,Sunday,155
Jet Airways,Delhi,Cochin,5,4,2.0,In-flight meal not included,10368,June,Thursday,655
IndiGo,Delhi,Cochin,6,21,2.0,No Info,8146,March,Saturday,160
Jet Airways,Delhi,Cochin,13,4,1.0,No Info,12242,March,Wednesday,205
Jet Airways,Banglore,New Delhi,8,15,1.0,In-flight meal not included,9134,March,Friday,435
Air India,Delhi,Cochin,13,9,2.0,No Info,10939,June,Thursday,490
Air India,Delhi,Cochin,10,7,2.0,No Info,11753,June,Thursday,525
SpiceJet,Kolkata,Banglore,17,19,0.0,No Info,4174,April,Wednesday,150
Jet Airways,Kolkata,Banglore,20,19,1.0,In-flight meal not included,10844,May,Tuesday,710
Jet Airways,Delhi,Cochin,16,19,1.0,No Info,14714,June,Monday,900
Jet Airways,Kolkata,Banglore,6,12,1.0,In-flight meal not included,9899,June,Wednesday,330
IndiGo,Delhi,Cochin,9,21,1.0,No Info,14871,March,Sunday,710
IndiGo,Chennai,Kolkata,13,15,0.0,No Info,7295,March,Wednesday,135
Air India,Delhi,Cochin,18,19,2.0,No Info,13465,June,Thursday,750
SpiceJet,Chennai,Kolkata,17,20,0.0,In-flight meal not included,3543,May,Tuesday,140
Multiple carriers,Delhi,Cochin,19,1,1.0,No Info,7198,June,Thursday,390
Jet Airways,Delhi,Cochin,8,4,1.0,In-flight meal not included,10262,June,Saturday,505
IndiGo,Kolkata,Banglore,15,17,0.0,No Info,4148,March,Friday,155
Jet Airways,Banglore,Delhi,15,18,0.0,No Info,8016,June,Thursday,175
Jet Airways,Delhi,Cochin,22,4,1.0,In-flight meal not included,10262,June,Sunday,335
SpiceJet,Kolkata,Banglore,14,17,0.0,In-flight meal not included,3841,June,Saturday,150
Jet Airways,Banglore,New Delhi,9,0,1.0,No Info,11507,March,Tuesday,165
Jet Airways,Delhi,Cochin,17,19,1.0,No Info,16079,May,Monday,810
Jet Airways,Delhi,Cochin,22,4,1.0,In-flight meal not included,12898,May,Monday,335
Multiple carriers,Delhi,Cochin,7,19,1.0,No Info,15353,March,Wednesday,705
IndiGo,Banglore,New Delhi,18,21,0.0,No Info,7303,March,Sunday,175
SpiceJet,Kolkata,Banglore,15,20,1.0,No Info,6197,March,Sunday,340
Air India,Kolkata,Banglore,9,13,1.0,No Info,8996,June,Sunday,245
IndiGo,Delhi,Cochin,14,22,1.0,No Info,6528,March,Thursday,480
GoAir,Banglore,Delhi,20,23,0.0,No Info,4239,April,Tuesday,165
